condition,diagonal_fraction,seed,train_size,fit_transition_count,model,parameter_count,q_bin_coverage,observed_joint_action_count,best_epoch,validation_mse,positive_axis_nmse,negative_axis_nmse,positive_joint_nmse,negative_joint_nmse,mixed_joint_nmse,negative_axis_control_error,negative_axis_control_success,negative_axis_action_error,positive_joint_control_error,positive_joint_control_success,positive_joint_action_error,mixed_joint_control_error,mixed_joint_control_success,mixed_joint_action_error
axis_plus_10pct_joint,0.1,2,200,160,corrected,5780,0.3055555555555556,19,899,1.989294787563267e-06,0.0002497771638445556,0.007124548312276602,0.0004136187781114131,0.006077557802200317,0.0037574637681245804,0.009295821676156871,0.9375,0.008810478679758186,0.007912738893840773,1.0,0.009143215484808764,0.00824238906473814,0.9895833333333334,0.008428801257718234
axis_plus_10pct_joint,0.1,2,500,400,free,4868,0.6458333333333334,47,899,6.0428696997405495e-06,0.0005764894303865731,0.034824345260858536,0.0014016461791470647,0.04369937255978584,0.011098954826593399,0.015330250408320959,0.7421875,0.01867811933091919,0.0084638787957374,1.0,0.009695887820004719,0.009461649584409315,0.9817708333333334,0.010360055210158656
axis_plus_10pct_joint,0.1,2,500,400,first_order,5000,0.6458333333333334,47,899,4.541387170320377e-06,0.0004609300522133708,0.026559706777334213,0.0011969123734161258,0.032927777618169785,0.009819407016038895,0.013448090123953685,0.8098958333333334,0.017102285872776218,0.008276321867015213,1.0,0.009486058454117806,0.008980682639958104,0.9921875,0.009929591277620156
axis_plus_10pct_joint,0.1,2,500,400,corrected,5780,0.6458333333333334,47,899,1.2840317822337965e-06,0.00012924712791573256,0.0043640113435685635,0.00015279724902939051,0.004384524654597044,0.001912083476781845,0.0074649041816883255,0.9322916666666666,0.006942903040908277,0.007601974119703907,1.0,0.00873627515114877,0.007520413437305251,1.0,0.007650429281672003
axis_plus_10pct_joint,0.1,2,1000,800,free,4868,0.875,106,899,5.017049261368811e-06,0.0004872053978033364,0.030637051910161972,0.0011399361537769437,0.0323580764234066,0.014577559195458889,0.015027550629383768,0.7291666666666666,0.01659364158452566,0.008303632307312606,1.0,0.009081869376662046,0.00964525665161394,0.9505208333333334,0.009768901371203342
axis_plus_10pct_joint,0.1,2,1000,800,first_order,5000,0.875,106,899,4.4043340494681615e-06,0.0004329168004915118,0.0263882577419281,0.0011484960559755564,0.03262367472052574,0.009696513414382935,0.014153111641159436,0.7890625,0.018361890247130457,0.008350028258670742,1.0,0.009837772212871687,0.0091109102916865,0.9921875,0.010117155356954094
axis_plus_10pct_joint,0.1,2,1000,800,corrected,5780,0.875,106,899,1.142257929132029e-06,0.00013462101924233139,0.0038020042702555656,0.00014343010843731463,0.003338694106787443,0.0019214763306081295,0.006959610884223366,0.953125,0.006370927527314052,0.0076947287282867665,1.0,0.008855467738008741,0.007945837976876646,0.9973958333333334,0.0076156219876688525
axis_plus_10pct_joint,0.1,2,2000,1600,free,4868,0.9791666666666666,196,880,3.3187018289027037e-06,0.0003437994746491313,0.023966077715158463,0.0010205277940258384,0.02778169885277748,0.010136383585631847,0.014256794606505233,0.7395833333333334,0.016906934800014522,0.00807161329430528,1.0,0.009239196362823868,0.009249836342254033,0.9817708333333334,0.009356289310614647
axis_plus_10pct_joint,0.1,2,2000,1600,first_order,5000,0.9791666666666666,196,899,3.849943368550157e-06,0.000416940834838897,0.026628559455275536,0.0011296216398477554,0.032640475779771805,0.010030454024672508,0.014572239928384079,0.7578125,0.018572534563039273,0.00840907433303073,1.0,0.01004950188082422,0.009281959286454367,0.9895833333333334,0.010510745392786375
axis_plus_10pct_joint,0.1,2,2000,1600,corrected,5780,0.9791666666666666,196,899,8.395761028623383e-07,0.00010373453551437706,0.003697233507409692,0.00010685101733542979,0.0032677932176738977,0.0018667351687327027,0.006042062104825163,0.9609375,0.005437365007916621,0.007555646210676059,1.0,0.008925469457548817,0.007642003341364519,0.9973958333333334,0.007529991607133003

